odd_home,odd_away,score_home,score_away
84.29,19.45,101,91
75.98,27.93,129,102
59.57,44.32,110,107
65.42,38.52,125,130
58.30,46.56,93,75
37.58,67.18,124,123
69.98,34.97,102,100
82.11,21.97,114,98
65.57,38.39,121,116
59.84,43.03,88,110
61.73,40.81,108,103
71.22,32.54,136,138
49.88,54.02,135,128
87.64,15.96,129,120
84.86,19.04,128,121
95.30,9.51,109,83
85.62,17.90,108,102
32.16,73.02,98,113
17.54,86.22,110,122
96.73,7.14,111,97
90.71,12.92,123,114
57.74,46.25,110,116
92.27,10.40,100,99
79.17,24.73,120,100
70.06,33.67,111,98
77.04,26.71,126,120
56.02,50.13,108,106
84.85,18.98,120,91
18.72,85.00,97,114
68.20,35.53,104,106
44.19,59.62,132,111
61.32,41.46,108,74
73.10,32.94,108,96
50.18,53.62,100,90
36.97,66.69,104,125
83.69,20.32,133,107
42.12,60.94,107,123
47.34,56.44,105,112
13.04,90.80,113,130
84.08,19.70,103,98
98.67,3.81,106,99
45.70,57.03,140,115
62.33,39.04,89,98
88.87,14.98,118,106
60.21,43.52,103,75
27.72,76.22,126,101
58.53,42.91,121,115
97.32,6.14,111,115
67.75,36.24,103,92
48.07,55.94,121,114
18.54,85.35,93,94
47.65,56.27,128,116
56.50,48.54,105,97
60.56,43.31,104,125
77.57,26.35,106,89
85.64,18.15,131,108
89.80,16.17,127,120
85.55,19.17,131,114
23.12,80.82,107,120
72.72,32.26,135,130
33.33,70.26,112,114
29.22,74.77,94,102
76.94,25.73,122,105
57.42,46.39,118,110
41.31,63.48,104,112
82.64,22.24,107,91
41.85,63.14,114,104
86.00,18.10,126,110
19.42,85.16,104,127
60.75,42.84,112,111
74.81,32.52,111,106
60.14,44.53,121,129
78.49,24.17,117,98
37.05,66.80,99,115
42.54,60.19,109,111
64.40,39.17,107,96
45.29,58.38,108,107
32.30,70.18,104,114
38.46,65.45,104,111
85.71,15.85,113,107
65.08,38.55,84,91
63.96,39.86,131,114
73.04,30.74,132,123
68.11,35.75,95,128
43.04,60.90,131,120
31.62,72.39,120,111
59.59,45.24,95,107
68.47,35.28,105,96
62.02,42.64,114,106
58.95,44.62,105,113
82.29,21.43,115,108
7.88,95.70,114,105
89.26,14.54,112,115
59.49,44.60,104,103
73.60,30.30,127,88
89.66,13.96,114,113
83.24,20.46,99,95
31.17,72.59,107,93
52.67,51.18,112,107
47.49,56.61,135,121
51.46,52.46,104,115
64.42,42.58,118,123
85.45,19.25,128,107
50.07,52.58,108,118
95.24,9.47,112,120
25.69,77.17,118,109
70.22,33.43,115,111
64.57,40.18,81,111
39.21,64.71,117,120
72.16,31.56,116,102
52.72,50.94,117,88
55.04,48.59,112,117
20.60,83.05,93,129
29.00,74.93,120,131
65.74,37.98,109,116
42.78,60.81,116,130
89.34,14.37,107,96
63.76,38.77,119,117
47.59,56.44,161,168
54.06,49.64,112,123
80.44,23.23,104,111
85.54,21.65,121,118
58.51,45.18,104,108
50.28,53.60,118,125
56.53,45.00,122,115
43.62,60.50,103,96
77.26,27.68,125,119
26.28,77.64,140,141
88.95,15.91,111,105
53.12,53.05,110,101
62.78,42.02,105,93
61.03,47.06,92,97
60.41,43.33,107,109
33.48,71.37,131,123
70.87,34.31,116,125
15.26,88.72,126,125
30.36,73.85,113,118
62.06,43.87,121,112
56.52,45.98,118,95
22.44,81.52,108,103
56.77,45.85,121,112
29.68,74.01,106,117
95.03,7.40,119,111
30.14,74.02,110,105
66.61,37.18,112,105
41.95,61.93,110,111
49.94,51.62,101,85
71.73,32.17,121,124
18.88,85.21,110,121
19.34,85.63,110,123
54.13,50.62,113,109
17.53,86.45,130,118
87.49,18.54,123,96
70.31,33.60,98,113
92.92,10.82,125,109
94.36,9.33,112,118
94.62,8.01,140,128
21.61,82.06,126,116
65.92,37.80,116,119
61.47,43.28,96,119
66.61,37.22,120,112
66.52,37.11,115,117
50.52,53.47,112,107
26.67,77.46,128,115
55.34,50.85,112,119
49.58,54.24,115,130
67.78,35.98,148,147
24.39,79.56,104,114
40.05,63.67,106,112
32.26,71.33,122,125
44.94,58.84,104,115
68.43,34.42,123,110
65.27,38.66,126,111
80.78,21.81,109,110
81.24,22.60,120,117
93.28,12.50,125,123
38.81,64.96,111,106
77.11,26.85,98,97
40.06,63.59,99,113
55.23,49.82,111,98
69.11,36.93,106,102
