odd_home,odd_away,score_home,score_away
60.66,42.72,105,98
60.93,44.03,119,123
70.67,32.07,109,103
71.16,32.41,120,100
61.06,42.48,118,108
61.41,42.19,118,105
66.49,37.06,107,118
68.47,35.88,123,112
45.91,57.86,103,130
18.95,84.70,110,88
77.84,25.80,102,116
41.43,62.85,102,113
56.61,47.59,80,84
81.33,20.92,125,91
50.31,52.79,106,92
81.31,24.83,113,116
61.93,41.67,104,103
68.07,34.71,96,103
60.33,41.79,120,114
61.51,42.18,111,115
41.13,62.69,131,119
41.20,62.47,99,104
70.14,33.35,104,89
84.08,19.60,111,119
79.16,25.47,106,109
53.90,49.93,114,108
71.98,30.81,118,104
47.24,57.40,103,100
39.78,64.69,118,125
48.22,56.45,107,96
71.16,32.49,132,106
57.08,47.56,102,116
46.38,58.14,111,127
57.90,46.05,117,111
56.44,47.13,86,83
68.10,36.54,123,98
55.38,49.15,112,109
76.05,27.94,118,102
70.44,34.36,122,105
45.64,58.08,125,86
69.56,35.15,126,111
70.85,32.76,124,128
63.42,40.93,115,107
44.56,58.26,97,104
60.39,42.38,100,113
71.68,32.91,115,126
81.96,22.59,100,105
77.18,26.69,126,110
48.88,55.98,89,103
69.26,34.68,129,112
68.19,35.57,115,85
58.90,45.03,147,140
95.43,8.54,123,109
36.76,67.14,113,120
20.63,83.92,122,114
37.15,67.38,81,106
18.18,85.65,126,141
75.55,28.84,92,100
68.63,36.75,113,96
35.32,70.09,111,121
35.37,69.37,103,132
71.74,32.07,115,95
34.26,68.46,103,120
39.24,64.63,108,118
23.57,79.32,125,119
69.64,34.06,105,94
63.62,39.16,115,120
77.71,27.09,109,95
46.64,57.43,84,113
88.76,15.18,141,129
55.80,48.64,101,92
83.96,19.37,120,95
80.27,24.16,121,127
45.94,59.88,102,109
81.92,25.86,130,108
61.86,42.08,128,109
70.36,33.12,132,98
76.07,30.92,109,112
52.01,50.99,105,107
55.08,48.58,99,90
82.47,21.47,125,118
53.57,52.81,109,123
84.46,20.24,104,93
75.99,27.66,103,113
71.76,32.99,109,107
71.91,31.69,112,117
62.60,40.99,142,115
67.38,36.30,103,100
69.90,33.75,100,96
60.75,42.96,118,100
52.26,51.61,144,117
25.33,78.54,118,112
34.94,68.90,136,121
27.19,79.71,98,110
30.84,72.98,117,112
80.20,25.06,132,116
10.44,93.56,99,121
47.91,55.79,107,120
70.23,33.64,124,95
95.82,8.20,123,109
66.31,37.55,128,117
56.87,46.83,113,101
49.95,53.90,121,123
94.23,9.56,96,92
35.52,71.45,113,125
78.33,25.52,115,110
66.50,37.78,122,108
70.54,33.21,108,124
16.82,87.89,103,140
91.22,13.53,105,91
19.54,84.33,115,122
71.31,33.30,118,109
48.23,55.58,125,122
97.83,5.79,114,110
32.91,71.02,122,115
56.64,47.10,107,106
28.68,75.20,91,104
4.70,99.07,93,109
98.53,5.44,122,97
84.99,18.73,120,105
51.91,51.66,118,117
88.07,14.98,114,102
79.99,23.84,116,110
52.16,51.72,103,114
91.56,13.10,116,93
58.34,45.37,106,94
67.01,38.28,102,98
22.04,80.96,90,113
17.03,86.70,133,142
77.77,26.08,124,122
47.49,56.33,98,105
87.44,16.48,125,107
66.06,37.75,128,116
38.44,65.50,102,94
76.99,26.93,120,116
41.69,62.03,122,116
53.08,50.45,101,99
76.24,27.43,122,106
97.83,6.83,114,102
41.48,62.92,107,115
41.37,62.42,103,94
37.58,66.05,133,104
49.34,55.20,121,129
7.54,96.26,96,115
29.14,73.74,112,117
28.97,74.81,100,119
52.38,50.46,119,116
98.94,4.74,140,129
33.57,70.19,146,125
81.52,23.05,115,110
82.77,20.95,125,124
17.14,86.46,102,111
28.44,75.22,123,110
77.20,27.36,126,98
21.99,83.32,96,108
55.24,48.31,110,112
23.57,79.29,97,124
24.08,79.57,96,128
75.89,27.92,100,106
54.19,49.65,124,130
43.67,58.37,119,125
88.45,15.53,136,97
71.57,32.29,124,102
99.89,4.62,124,116
27.22,76.52,99,109
34.46,69.06,132,133
76.19,27.54,118,104
76.31,27.45,128,105
80.63,22.93,106,101
34.39,69.12,104,113
67.90,37.13,127,120
87.04,18.56,110,90
71.89,32.05,122,112
82.08,21.81,121,112
100.24,4.35,141,133
35.74,68.72,121,99
91.98,11.98,109,107
89.73,14.26,118,97
82.11,19.78,118,94
21.81,81.91,111,97
27.84,76.07,133,126
44.73,59.05,113,109
42.54,61.33,129,131
34.41,69.22,99,120
63.56,40.73,113,97
68.69,34.02,126,94
55.27,48.49,135,103
9.74,94.17,115,135
73.33,31.57,93,104
59.30,44.32,135,134
37.01,66.62,135,139
11.39,92.47,105,141
9.38,94.60,96,132
92.18,11.72,105,100
46.80,57.17,113,127
52.42,51.43,108,103
33.12,70.64,99,103
56.12,48.44,124,118
14.64,89.35,118,134
43.02,59.48,99,102
34.90,68.45,93,89
79.03,23.80,110,99
23.55,79.94,94,106
68.46,35.08,104,118
61.48,42.24,123,114
52.60,51.15,108,123
54.27,50.56,112,119
64.04,40.44,154,141
87.87,15.99,114,121
32.28,70.84,111,121
71.00,31.39,99,111
15.29,88.64,97,122
12.27,92.83,120,123
14.63,89.20,111,113
45.46,58.34,119,129
55.22,48.43,117,114
73.31,30.35,104,110
68.97,33.92,106,102
60.39,42.41,125,124
83.26,20.65,108,97
12.56,90.58,107,124
43.15,59.86,136,140
21.73,82.16,95,152
10.79,93.13,112,111
19.20,84.65,87,113
82.10,21.79,107,94
92.19,11.70,106,110
60.34,43.11,121,100
52.69,51.26,98,108
38.60,65.08,109,128
95.40,8.51,92,75
65.54,38.11,143,140
35.72,68.88,93,122
70.61,33.34,126,104
65.93,37.78,121,111
21.15,83.41,95,109
8.03,96.95,143,136
43.19,61.38,126,114
28.61,75.23,105,115
40.56,63.06,113,130
67.20,36.23,109,101
25.03,81.20,105,154
61.59,43.68,114,112
50.96,53.77,109,130
64.15,41.02,116,111
66.24,37.57,120,111
59.51,45.05,113,94
56.12,47.93,116,107
66.09,37.57,104,109
88.12,15.58,127,83
67.95,35.82,103,133
43.03,61.66,107,114
40.15,63.93,103,116
87.46,17.46,115,119
24.17,81.85,104,114
29.53,74.14,112,133
26.89,77.02,113,106
57.59,46.14,120,96
74.66,29.79,102,110
20.62,84.79,105,104
51.57,52.55,120,103
39.98,63.91,110,118
92.84,11.09,112,96
44.29,59.39,100,86
11.11,92.78,103,114
99.61,4.14,121,90
42.46,61.42,143,146
71.60,32.74,117,113
33.90,69.99,112,131
38.88,64.22,111,104
72.52,32.16,119,110
64.04,39.69,113,120
53.14,50.69,128,119
23.86,80.07,125,104
97.22,9.02,129,116
85.49,18.48,96,101
53.00,50.77,108,93
61.57,42.05,106,101
63.87,40.73,108,110
59.74,43.91,115,109
83.86,19.80,132,94
46.27,57.76,120,103
46.94,57.75,118,97
68.32,34.60,128,130
57.48,47.27,108,102
24.63,79.22,104,109
22.31,81.60,109,129
26.01,77.82,118,103
56.48,46.25,109,104
59.70,43.05,115,110
51.10,53.62,108,91
71.75,32.08,106,91
48.75,54.32,99,86
76.45,27.58,124,117
19.05,84.83,100,135
34.41,69.36,117,105
52.82,51.67,105,106
55.31,48.49,128,125
83.44,21.30,127,117
44.15,59.74,87,107
15.68,89.79,89,112
44.15,59.80,137,127
45.49,59.94,121,105
75.20,27.84,122,116
39.62,64.02,113,116
69.23,34.42,114,103
52.09,55.57,118,114
37.61,66.14,112,113
56.06,47.65,120,134
89.80,14.21,112,96
62.60,42.76,129,134
61.60,42.07,109,97
28.08,75.58,97,111
81.20,22.74,139,137
37.45,66.31,94,109
61.82,42.13,113,91
54.67,49.74,127,128
94.59,9.38,119,107
60.69,42.92,96,102
61.58,41.43,96,107
38.36,66.14,109,105
93.08,10.87,124,105
79.54,24.28,107,121
43.14,60.50,109,101
50.43,52.03,110,114
63.68,40.29,112,106
39.20,63.55,109,107
51.46,52.26,129,117
44.35,59.59,122,112
93.62,10.51,85,111
78.29,28.62,115,128
54.47,49.27,119,114
64.60,39.18,106,96
61.70,42.00,121,100
59.14,44.66,127,115
77.38,26.54,109,117
59.27,44.61,106,107
40.00,64.40,115,126
19.35,84.50,99,128
31.83,73.52,119,111
84.88,19.09,130,115
61.02,42.75,113,102
58.29,45.56,110,104
68.87,33.80,106,103
38.73,64.96,117,115
83.64,19.31,119,111
23.47,80.22,113,121
94.91,9.10,122,114
40.03,63.81,101,119
44.48,59.20,109,120
71.39,32.25,123,106
46.15,56.99,111,123
38.87,64.98,113,114
45.67,57.29,124,132
9.42,94.54,109,147
86.41,20.51,106,115
52.08,51.79,98,100
52.66,51.21,106,116
30.84,73.82,117,112
55.38,47.56,90,103
84.89,19.11,123,117
16.32,89.15,105,130
63.72,37.92,106,86
54.02,53.68,115,116
95.29,9.34,106,96
44.89,59.16,93,101
39.10,64.73,115,126
50.43,53.59,103,108
31.83,71.83,97,127
31.39,72.10,116,107
89.41,16.45,126,120
52.48,52.27,101,90
51.64,52.25,117,110
81.34,22.68,121,125
26.79,77.89,97,120
36.09,67.28,95,113
48.67,55.25,111,96
95.31,8.44,131,124
52.02,50.82,98,107
71.55,31.28,117,119
63.56,40.10,125,132
45.79,57.85,121,117
64.65,38.16,102,96
17.98,85.77,109,116
21.45,83.23,87,124
56.62,45.85,87,105
63.35,40.40,101,105
69.67,34.41,125,109
96.82,7.26,134,106
85.69,19.17,118,103
14.51,89.48,93,117
83.28,20.79,128,112
90.24,14.46,101,126
64.75,39.07,115,135
64.65,41.80,107,110
82.09,20.96,126,109
70.82,33.13,121,119
39.22,64.62,119,127
60.04,42.92,120,108
38.53,65.13,101,94
77.47,25.54,145,136
50.39,55.47,133,129
27.69,76.16,106,111
74.57,29.14,113,103
81.02,22.90,101,113
63.78,40.14,122,103
63.52,40.45,116,101
35.39,68.40,102,129
86.10,17.03,110,104
35.80,68.31,113,122
46.50,60.74,117,113
64.25,39.71,106,96
46.26,57.74,113,131
20.82,83.09,102,93
32.65,71.19,102,113
60.55,44.14,101,99
75.49,28.17,139,111
44.61,59.39,141,137
33.32,69.46,116,131
49.85,53.93,122,121
74.33,29.20,133,116
92.51,11.46,134,119
75.07,27.64,112,124
64.81,37.76,123,107
48.90,51.75,96,106
44.70,59.20,101,110
42.77,60.00,97,113
8.19,97.02,130,133
75.26,28.55,114,112
32.94,70.45,111,103
37.96,64.51,116,106
41.39,62.29,108,132
72.71,31.21,101,125
73.60,30.27,103,101
100.92,2.72,119,109
49.97,53.61,115,122
59.68,44.05,117,111
65.48,40.54,100,116
79.61,23.96,116,86
85.92,17.47,104,86
46.18,58.09,115,107
94.82,9.05,133,85
48.46,54.92,128,129
78.34,25.14,133,139
93.36,11.53,137,91
47.08,57.71,81,125
91.46,12.45,115,101
96.27,7.29,122,113
36.74,65.84,87,109
97.26,6.79,140,103
48.52,56.09,109,127
68.08,40.68,94,115
52.47,50.53,103,126
83.34,19.68,113,106
70.75,31.91,97,114
75.58,30.43,120,108
93.36,10.75,118,102
38.27,65.57,86,99
71.95,31.73,130,77
57.86,45.86,94,101
52.94,52.03,129,134
62.98,40.87,116,109
62.85,41.16,110,115
53.85,49.07,111,89
18.54,86.49,94,114
56.36,47.80,120,91
29.75,76.06,97,112
81.40,21.42,121,116
59.31,47.60,120,106
39.04,64.93,107,111
47.49,57.31,102,101
30.26,75.74,113,103
54.69,47.11,108,113
89.12,14.87,120,108
22.08,81.92,101,124
52.96,52.18,87,92
90.17,12.75,96,103
71.53,31.41,117,110
73.01,30.57,104,95
33.73,70.01,104,114
57.07,45.85,116,102
46.15,57.66,129,105
99.41,4.39,114,75
57.76,50.15,115,132
34.01,70.96,118,104
21.14,82.94,110,120
11.47,92.56,106,127
53.98,49.65,109,115
82.12,20.86,112,107
47.75,56.04,88,98
24.45,79.51,132,124
70.86,33.11,96,93
67.11,36.71,126,102
40.99,62.93,117,122
31.68,73.72,97,101
69.96,33.70,122,112
85.23,18.65,100,98
73.31,30.57,112,103
35.69,67.22,94,111
75.76,28.21,126,110
49.06,54.98,120,104
41.57,62.34,96,102
60.09,43.55,107,129
73.79,30.06,106,92
60.88,41.85,100,86
25.57,78.33,108,124
87.51,18.19,117,114
44.31,59.62,94,109
51.63,51.36,110,105
65.78,36.19,107,101
40.92,63.21,108,113
25.94,78.02,105,112
69.74,33.03,114,122
47.08,56.51,100,104
27.93,75.91,111,113
28.30,75.36,101,109
68.22,34.37,141,119
54.86,49.40,85,98
40.39,63.51,122,125
58.93,47.95,106,102
44.49,58.38,110,108
95.82,7.96,118,88
34.43,69.41,101,134
79.88,24.10,94,103
38.30,67.20,97,122
24.56,80.22,108,128
25.52,78.38,107,116
19.22,83.69,112,111
77.70,26.01,121,119
46.43,56.65,135,111
80.87,23.04,116,111
35.16,67.66,98,108
58.48,44.30,112,116
42.90,60.09,100,110
68.58,35.39,128,111
63.13,39.75,131,113
23.66,79.40,99,110
66.19,38.38,119,110
19.76,85.05,95,120
24.76,79.10,117,99
69.44,34.19,132,126
69.73,33.90,140,113
63.02,40.76,97,100
71.43,32.25,103,112
39.28,64.45,105,119
88.64,14.98,111,94
44.80,60.09,92,132
54.09,50.95,100,101
84.05,19.96,113,106
41.66,62.92,86,100
30.41,73.61,116,105
82.15,21.76,112,96
75.40,27.49,108,113
62.81,40.94,112,114
58.37,46.09,106,109
81.60,23.26,125,98
93.07,10.77,120,113
70.73,33.15,111,103
59.21,44.56,129,105
59.72,44.03,94,99
85.43,18.68,113,101
47.35,56.88,125,119
76.87,27.09,131,127
57.93,45.95,100,113
68.38,35.44,103,116
60.09,43.42,110,137
15.48,88.51,121,113
43.07,62.36,112,115
74.51,33.11,96,107
32.03,71.78,110,116
70.94,32.78,116,105
90.60,15.11,119,123
56.62,46.51,101,93
80.11,25.79,116,93
64.37,40.41,94,93
15.07,89.81,131,122
50.39,54.23,105,89
74.45,34.47,129,104
56.19,47.84,89,85
59.17,44.71,99,106
29.62,75.37,117,110
15.68,88.28,94,108
27.93,75.98,116,112
60.43,43.50,115,124
29.40,74.25,105,109
47.96,56.12,119,121
73.32,31.62,137,121
57.94,44.91,125,124
78.42,25.40,123,102
24.20,80.80,107,119
89.95,13.14,113,98
79.68,24.34,99,96
47.06,56.37,109,117
53.08,49.92,97,128
58.84,44.57,121,106
80.69,23.29,122,99
54.42,49.48,99,109
81.25,20.29,117,112
54.26,49.82,99,109
26.11,76.77,122,133
63.41,39.39,122,116
61.84,43.11,118,95
31.69,72.89,135,115
12.30,90.76,107,134
38.48,66.24,114,112
63.69,39.10,100,82
23.13,80.75,97,102
67.75,34.88,134,99
23.32,80.50,131,119
20.42,83.44,128,122
49.49,54.34,103,116
78.41,24.51,111,122
34.56,68.35,121,125
67.56,38.02,121,106
88.51,21.04,100,95
60.02,42.73,114,104
8.38,95.61,119,125
44.00,59.70,97,119
65.28,39.09,105,100
101.83,2.04,114,99
50.79,53.17,90,101
77.57,25.50,104,77
47.54,55.36,102,103
68.43,34.56,116,82
42.94,60.79,101,127
72.74,31.86,130,104
34.01,69.71,121,127
76.34,27.51,125,105
52.23,51.73,116,108
63.87,38.98,105,127
85.23,18.71,111,103
83.83,20.21,134,101
73.68,31.17,105,135
54.70,50.08,121,109
37.91,65.84,120,121
61.86,42.72,105,102
63.99,40.48,115,104
60.94,42.88,127,112
36.89,66.38,150,170
94.37,9.41,120,98
65.20,38.29,123,119
78.27,25.54,102,107
42.70,61.06,93,103
44.01,58.34,103,113
30.80,72.99,111,112
78.96,24.81,114,104
80.57,20.96,132,125
20.04,83.80,119,117
51.47,55.44,108,106
67.83,36.15,123,120
61.45,41.99,87,78
44.77,59.07,102,135
75.42,28.37,124,128
49.85,53.83,112,115
14.12,89.75,114,132
25.83,77.99,111,114
36.68,66.68,131,123
72.59,31.13,105,129
45.98,57.78,104,114
81.39,22.48,97,128
43.45,60.28,119,93
31.74,71.67,117,112
51.53,52.19,80,94
50.81,53.11,111,125
82.03,21.72,123,111
55.16,47.31,90,101
36.89,66.30,113,124
43.44,58.98,112,118
28.59,74.18,129,124
26.17,77.45,124,130
56.55,46.98,130,114
66.70,36.84,126,127
17.10,88.83,99,118
45.83,58.09,90,109
36.27,67.31,84,133
53.89,49.63,117,91
52.73,51.00,109,99
75.08,28.69,111,110
55.99,47.36,105,100
46.55,57.14,98,115
55.76,49.20,110,107
35.10,67.62,96,126
26.51,77.50,109,124
51.13,51.73,117,114
90.61,13.24,109,112
62.22,41.40,128,112
72.36,32.17,130,121
67.79,35.60,102,93
26.56,77.15,97,106
50.54,56.21,107,110
26.36,77.41,99,119
34.07,69.27,124,116
31.13,72.61,118,109
54.16,50.45,118,112
68.98,35.89,122,111
72.11,30.82,129,125
81.46,21.29,110,112
23.04,80.72,122,94
83.64,20.16,129,92
50.90,53.07,140,121
62.99,40.19,111,97
82.42,22.01,114,89
82.06,23.77,121,124
69.78,34.79,133,126
52.05,50.44,116,108
91.88,12.06,128,118
46.15,56.78,102,99
51.73,52.27,127,112
31.98,71.76,112,96
59.31,42.17,107,111
66.77,37.13,111,106
92.56,11.48,135,116
81.38,23.53,139,112
64.94,38.86,127,118
40.91,62.66,110,107
35.99,67.54,106,114
40.78,62.73,102,109
22.88,80.89,112,111
68.13,34.35,93,105
74.85,30.91,124,127
24.94,78.85,94,108
72.07,32.53,132,100
94.76,11.20,132,110
60.38,42.18,102,92
49.51,56.44,100,120
81.37,22.41,128,115
77.15,26.46,108,112
46.10,57.58,123,115
39.50,64.20,101,117
65.61,38.08,103,99
66.09,37.69,105,96
38.19,64.39,110,103
51.41,53.13,120,115
69.18,34.33,111,118
55.15,48.81,122,114
26.81,77.09,97,128
61.14,40.16,94,96
46.21,57.67,102,100
56.46,47.23,116,112
47.27,55.44,81,86
60.01,42.46,109,95
80.92,21.00,98,85
36.99,66.61,114,132
69.67,33.83,121,109
66.83,36.97,112,105
19.57,85.32,103,120
31.90,71.80,124,120
60.08,40.29,98,109
56.46,47.53,110,118
78.92,23.88,96,110
58.63,46.00,120,112
25.59,77.99,96,114
74.44,30.36,122,113
68.22,35.28,124,126
54.24,49.52,105,102
38.42,66.40,128,134
34.29,69.32,130,128
50.19,53.66,114,122
73.61,30.28,118,113
46.28,57.32,107,89
81.62,22.20,124,128
44.31,59.47,113,144
